name,t,t_diff,Fr,Fr_unc,Fr_uplim_bool,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,state,phase,class,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
GX 339-4,59049.81741,0.9901600000011967,1.18,0.06774872692530835,False,1.5692e-11,2.4439242214111307e-12,2.665462398909428e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.807212583952517e+29,1.037596202086271e+28,1.8775675229993978e+35,2.924186048173036e+34,3.189259262024221e+34
GX 339-4,59054.89148,0.171650000003865,0.982,0.05702464379546795,False,1.4364000000000001e-11,2.0191804698936644e-12,2.1086876013293194e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.5039684385096374e+29,8.733529988354197e+27,1.718670653859505e+35,2.415974810952719e+34,2.5230712187149066e+34
GX 339-4,59062.70781,0.3473599999997532,0.853,0.05290285909097919,False,1.1316e-11,2.0925636429987023e-12,2.3841603993859138e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.3064002831453366e+29,8.102263786125799e+27,1.3539736228817987e+35,2.503778699913121e+34,2.8526778839588736e+34
GX 339-4,59069.69732,0.565470000001369,0.831,0.05293621161360152,False,1.0899000000000002e-11,1.4937684760363635e-12,1.5706103335964653e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.2727064892072388e+29,8.107371845328309e+27,1.3040790487618175e+35,1.787312756491321e+34,1.879255004873804e+34
GX 339-4,59076.77035,0.12537000000156695,0.646,0.04844068537913146,False,7.0735e-12,1.2384746999838148e-12,1.3781726533711224e-12,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",9.893723129095985e+28,7.418865779021279e+27,8.463531655580066e+34,1.4818505447017803e+34,1.6490009017687522e+34
GX 339-4,59096.86467,0.28937999999470776,0.336,0.04008989897717379,False,9.1e-13,2.3939051025468825e-13,2.7838345514775113e-13,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",5.145961256000389e+28,6.139912705163867e+27,1.0888264376302904e+34,2.864337543770436e+33,3.330893030370743e+33
GX 339-4,59238.48995,0.7322700000004261,2.67,0.13950806428303705,False,4.980803008344012e-10,3.2505028544861975e-11,3.282200930695951e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",4.089201355214595e+29,2.1366163502979773e+28,5.959593402322466e+36,3.889267520392634e+35,3.927194666985161e+35
GX 339-4,59244.21015,0.2465200000006007,3.87,0.1964990839673305,False,1.1212e-09,1.2413991501527622e-10,1.2538932060187583e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",5.927044660929019e+29,3.009454383736458e+28,1.341529892166024e+37,1.485349686085827e+36,1.5002989809650863e+36
GX 339-4,59251.44824,0.017459999995480757,5.97,0.3005332926648893,False,2.3315e-09,2.339490249199599e-10,2.33969467505912e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",9.14327044592926e+29,4.602775833904006e+28,2.7896690542143105e+37,2.79922948780967e+36,2.79947408591998e+36
GX 339-4,59265.45867,0.319550000000163,10.4,0.5216454351376997,False,3.6939e-09,3.703429865692072e-10,3.7036497787452856e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",1.5927975316191678e+30,7.989188091035911e+28,4.419797777980802e+37,4.431200382060576e+36,4.431463510792794e+36
GX 339-4,59279.21297,0.5624499999976251,11.7,0.5858582507740246,False,3.578e-09,3.5910321685554415e-10,3.5914629418107603e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",1.7918972230715634e+30,8.972630535688363e+28,4.281121971254043e+37,4.296715124729668e+36,4.2972305503439706e+36
GX 339-4,59281.24699,0.1720900000000256,13.4,0.6705478431849587,False,4.3985e-09,4.4020771977442655e-10,4.4021350671691115e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.0522583580477738e+30,1.0269682206322684e+29,5.262860533974542e+37,5.267140696036726e+36,5.267209937530905e+36
GX 339-4,59286.10265,0.31784999999945285,12.3,0.6160940593773001,False,3.8829e-09,3.89242292950034e-10,3.8926083764617276e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",1.883789388357285e+30,9.435702855974967e+28,4.6459386534886325e+37,4.6573329583278183e+36,4.657554847947969e+36
GX 339-4,59293.14299,0.24758000000292668,15.2,0.7607031549822835,False,5.713e-09,5.720725721803135e-10,5.720883415426328e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.3279348539049374e+30,1.16504433418336e+29,6.83567630569434e+37,6.844920228935033e+36,6.845108911337207e+36
GX 339-4,59314.07361,0.8879900000029011,27.9,1.3957159775541728,False,1.7275e-08,1.7296815614514138e-09,1.7297022963646087e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",4.272985685786036e+30,2.1375893883555e+29,2.0669754626443153e+38,2.0695857283405946e+37,2.069610537924846e+37
GX 339-4,59328.0165,0.2995200000004843,11.8,0.5909616654234013,False,1.9345128067484955e-08,1.3699342478344949e-09,1.3699515324125477e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",1.8072125839525176e+30,9.050791172768714e+28,2.3146688878265262e+38,1.6391435459971037e+37,1.639164227211991e+37
GX 339-4,59335.06897,0.4029599999994389,21.7,1.0855904568482535,False,2.0747e-08,2.0772274896120552e-09,2.077256173513513e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",3.323433311166917e+30,1.6626209615550217e+29,2.48240462654018e+38,2.485428799628577e+37,2.4854631202771945e+37
GX 339-4,59349.91249,0.40297999999893364,12.3,0.6158847294745992,False,2.0537e-08,2.0581546602721574e-09,2.058208082896382e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",1.883789388357285e+30,9.432496892971926e+28,2.4572778625948658e+38,2.4626079196003453e+37,2.462671840441689e+37
GX 339-4,59356.02457,0.21789999999600695,12.0,0.600940063567075,False,1.8641e-08,1.869234392070722e-09,1.8693035051590742e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",1.8378433057144248e+30,9.203613941352914e+28,2.2304190795457414e+38,2.236562444191633e+37,2.2366451388705167e+37
GX 339-4,59370.89962,0.3800699999992503,4.94,0.2511739636188433,False,1.9347e-08,1.9388031707473563e-09,1.938859281871689e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",7.565788275191047e+29,3.846819896722079e+28,2.314892866904751e+38,2.3198023622759957e+37,2.3198694999415105e+37
GX 339-4,59384.90198,0.5815100000036182,2.87,0.14717859898776048,False,1.4068999999999998e-08,1.4090540145516071e-09,1.4090765690767129e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",4.395508572833665e+29,2.2540933574506946e+28,1.683373533079182e+38,1.685950838563611e+37,1.6859778253363838e+37
GX 339-4,59392.02533,0.7903099999966798,2.13,0.11158467636732204,False,1.3824e-08,1.3852801288995668e-09,1.3853148424675889e-09,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",3.262171867643103e+29,1.7089595873499446e+28,1.6540589751429822e+38,1.6575050855711485e+37,1.6575466207915956e+37
GX 339-4,59426.85107,0.49698999999964144,0.4015,0.036764733441166146,False,9.3467e-09,9.361019153644544e-10,9.361212207428052e-10,False,SS,decay,BH,10.0,"(""uniform"", 8, 12)",6.1491173937028455e+28,5.630651603435204e+27,1.1183444027031907e+38,1.1200577074342533e+37,1.120080806562096e+37
GX 339-4,59433.8276,0.5730199999961769,0.3862,0.037717848560065034,False,7.910145891986641e-09,5.608414484674794e-10,5.608682114535637e-10,False,SS,unclear,BH,10.0,"(""uniform"", 8, 12)",5.914792372224256e+28,5.776624623505497e+27,9.464588980997463e+37,6.710538422090745e+36,6.710858644583036e+36
GX 339-4,59441.00347,0.849370000003546,0.4019,0.03889343164340221,False,6.852952746882677e-09,4.858194524864225e-10,4.858412932778212e-10,False,SS,unclear,BH,10.0,"(""uniform"", 8, 12)",6.155243538055227e+28,5.956669415174028e+27,8.199644095205472e+37,5.812890810794392e+36,5.813152138608606e+36
GX 339-4,59448.63946,0.5861799999984214,0.4353,0.03969830254557492,False,6.2708e-09,6.297317518594723e-10,6.297921360456957e-10,False,SS,unclear,BH,10.0,"(""uniform"", 8, 12)",6.666776591479075e+28,6.079938298467564e+27,7.503091016584645e+37,7.534819560877268e+36,7.535542065255013e+36
GX 339-4,59454.64299,0.4902799999981653,0.3908,0.04078543367429112,False,6.3726e-09,6.385885677343433e-10,6.386129844467618e-10,False,SS,unclear,BH,10.0,"(""uniform"", 8, 12)",5.985243032276642e+28,6.246436354079633e+27,7.624895996090978e+37,7.640792476017742e+36,7.641084625050724e+36
GX 339-4,59462.71478,0.8566300000020419,0.6223,0.04608842831991562,False,5.7534e-09,5.774921226302572e-10,5.775447943571131e-10,False,SS,unclear,BH,10.0,"(""uniform"", 8, 12)",9.530749076217386e+28,7.058609121554668e+27,6.88401541347485e+37,6.909765831242395e+36,6.910396055074441e+36
GX 339-4,59496.60923,0.572070000001986,4.74,0.2394263978762576,False,4.3473e-10,4.42089449998527e-11,4.423920538854649e-11,False,HS,peak/trough,BH,10.0,"(""uniform"", 8, 12)",7.259481057571977e+29,3.6669016879016527e+28,5.201599090450728e+36,5.2896558346794574e+35,5.293276528220421e+35
GX 339-4,59504.47331,0.3384599999990314,2.46,0.1272982325093322,False,1.2706e-10,1.6701737514402506e-11,1.7361988941362682e-11,False,HS,peak/trough,BH,10.0,"(""uniform"", 8, 12)",3.76757877671457e+29,1.9496183703879538e+28,1.5202888699484036e+36,1.9983838857190182e+35,2.077383798813234e+35
GX 339-4,59510.48376,0.3770100000037928,1.29,0.0728660414733777,False,1.1228e-10,1.738506580372936e-11,1.8556375184825294e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",1.9756815536430062e+29,1.1159697211313068e+28,1.343444312276143e+36,2.08014497440031e+35,2.2202936140466426e+35
GX 339-4,59797.92122,0.4708399999944959,0.2782,0.04805713370562168,False,7.5956e-12,1.2836442005477997e-12,1.4328839428230049e-12,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",4.260733397081274e+28,7.36012345605832e+27,9.088230867763334e+34,1.5358964198541132e+34,1.7144636472545245e+34
GX 339-4,59804.64596,0.20462000000406988,0.5763,0.04745096653388632,False,4.0865e-11,5.668423338107344e-12,5.9111570322568825e-12,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",8.826242475693524e+28,7.267286766165181e+27,4.8895486125012995e+35,6.782339769463539e+34,7.072773685390662e+34
GX 339-4,59811.72616,0.5832299999965471,1.372,0.08287466440354375,False,1.5512e-10,1.771212901065256e-11,1.7929462336891198e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.101267512866826e+29,1.269255393228187e+28,1.856030296760557e+36,2.1192784981886755e+35,2.1452827038355726e+35
GX 339-4,59818.63968,0.6072100000019418,1.935,0.10674536289694275,False,3.2918e-10,4.012107542177802e-11,4.126569942458264e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.9635223304645095e+29,1.6348437551350262e+28,3.938680074056473e+36,4.800537101691293e+35,4.937492802284686e+35
GX 339-4,59825.6217,0.89154000000417,3.094,0.16233523955075188,False,5.1028e-10,5.4205484777834064e-11,5.443690205182512e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",4.738572656567024e+29,2.4862227774158066e+28,6.105564336197634e+36,6.4857543835903305e+35,6.51344375128767e+35
GX 339-4,59831.69627,0.36252000000240514,3.392,0.17557140997326415,False,8.014514875020413e-10,5.703344032186139e-11,5.7037215908194183e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",5.194970410819439e+29,2.6889395041183853e+28,9.589467780992801e+36,6.824122818840891e+35,6.824574572491079e+35
GX 339-4,59838.70506,0.6075199999977485,3.635,0.18738309021894156,False,1.0135e-09,1.122569477760731e-10,1.1334809665803835e-10,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",5.5671336802266104e+29,2.869839649691365e+28,1.2126654885036258e+37,1.343168489519464e+36,1.3562242230367663e+36
GX 339-4,59846.72634,0.8731899999984307,3.803,0.19646216556884433,False,1.0117113908376893e-09,7.513323399520583e-11,7.529370768536311e-11,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",5.82443174302663e+29,3.008888965140495e+28,1.2105253951602064e+37,8.98978588116956e+35,9.008986759893444e+35
GX 339-4,59852.52132,0.9127300000036485,3.581,0.18611701292466523,False,1.0973e-09,1.16816940813394e-10,1.17366501336625e-10,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",5.484430731469462e+29,2.850449219026342e+28,1.3129332417711183e+37,1.3977293793485305e+36,1.404304940082287e+36
GX 339-4,59859.68057,0.45383000000583706,3.407,0.1769292584622453,False,8.0441e-10,8.687038209309316e-11,8.741365455121986e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",5.217943452140871e+29,2.7097354437487896e+28,9.624866754881122e+36,1.0394150403297233e+36,1.045915363574171e+36
GX 339-4,59867.46535,0.438640000000305,2.057,0.11493394842256137,False,5.3776e-10,5.4694903251491354e-11,5.472717293082113e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",3.1503697332121422e+29,1.7602548975644276e+28,6.434365990110605e+36,6.544313919104915e+35,6.548175026795917e+35
GX 339-4,59873.59049,0.5935399999943911,2.044,0.112075153357022,False,4.187e-10,4.300213885099206e-11,4.3059721364634964e-11,False,HS,decay,BH,10.0,"(""uniform"", 8, 12)",3.130459764066903e+29,1.7164714194510032e+28,5.0097981256681615e+36,5.145259962154813e+35,5.1521497822866376e+35
GX 339-4,59986.36136,0.7082499999960419,0.07,0.023333333333333334,True,7.7507e-13,2.4924728112659526e-13,3.047122103707037e-13,False,QS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.0720752616667478e+28,3.573584205555826e+27,9.273809967188015e+33,2.982275046133036e+33,3.6459198958284066e+33
GX 339-4,60001.20386,0.15832999999838648,0.07,0.023333333333333334,True,1.0670000000000002e-12,3.0355092225193453e-13,3.586400005576623e-13,False,QS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.0720752616667478e+28,3.573584205555826e+27,1.2766789109357364e+34,3.6320249375270674e+33,4.291172683504668e+33
GX 339-4,60015.2226,0.12008999999670777,0.1067,0.03556666666666667,True,1.087e-12,2.768060239590172e-13,3.198473793858565e-13,False,QS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.6341490059977426e+28,5.44716335332581e+27,1.300609162312226e+34,3.312018867932984e+33,3.8270140954075407e+33
GX 339-4,60021.22943,0.7905099999989034,0.07,0.023333333333333334,True,7.5319e-13,2.3600158338663747e-13,2.8636268988993657e-13,False,QS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.0720752616667478e+28,3.573584205555826e+27,9.012013017129216e+33,2.823788607845939e+33,3.4263655769570034e+33
GX 339-4,60042.18763,0.9723599999997532,0.0901,0.030033333333333332,True,1.5103e-12,3.4073089939129384e-13,3.821874243090685e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.3799140153739138e+28,4.5997133845797125e+27,1.8070929326956348e+34,4.076888037085576e+33,4.572920568324608e+33
GX 339-4,60050.14256,0.40415000000211876,0.1843,0.06143333333333333,True,3.1186e-12,6.390074860281373e-13,7.067382710027807e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",2.8226210103597366e+28,9.408736701199123e+27,3.7314440971360707e+34,7.645804886056092e+33,8.456212241241194e+33
GX 339-4,60064.10134,0.10678999999799998,0.07991,0.026636666666666666,True,2.0654e-12,4.573351213278945e-13,5.124186512023153e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.2238504879969971e+28,4.0795016266566577e+27,2.4712770596501125e+34,5.472072208337012e+33,6.131153566636652e+33
GX 339-4,60078.95608,0.4237200000061421,0.159,0.05003561231762833,False,4.9844e-12,8.794320014645817e-13,9.452642395118943e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",2.435142380071612e+28,7.663134595439617e+27,5.963897248048813e+34,1.0522514431788537e+34,1.1310205434363094e+34
GX 339-4,60085.98607,0.12082999999984168,0.1681,0.04077565480774036,False,4.2125e-12,8.344016000104506e-13,9.647919378809093e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",2.5745121640882898e+28,6.244938685377318e+27,5.040309196173185e+34,9.983720018597732e+33,1.1543856799750496e+34
GX 339-4,60106.92458,0.5537199999962468,0.1219,0.034837322299510906,False,1.5287e-12,4.554231404968351e-13,5.466692386626488e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",1.866942491388236e+28,5.335461631430997e+27,1.8291087639620056e+34,5.449195117379871e+33,6.540966150495769e+33
GX 339-4,60119.9712,0.5981899999969755,0.1977,0.06693394673108706,False,3.1918e-12,6.148382896339492e-13,6.719725004045924e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",3.0278468461645136e+28,1.0251175493731184e+28,3.819028817174024e+34,7.356617413415756e+33,8.04023542638518e+33
GX 339-4,60141.70503,0.05496000000130152,0.1426,0.04753333333333334,True,2.4697e-12,4.876708326320122e-13,5.3540375652399e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",2.183970461623974e+28,7.279901538746581e+27,2.9550270912258556e+34,5.835042806933093e+33,6.406173240768039e+33
GX 339-4,60169.68212,0.23825000000215368,0.04788,0.01596,True,1.5977e-12,3.5702404862978066e-13,4.0022338187567203e-13,False,HS,unclear,BH,10.0,"(""uniform"", 8, 12)",7.332994789800554e+27,2.4443315966001844e+27,1.9116681312108957e+34,4.2718376155814037e+33,4.7887230675168723e+33
GX 339-4,60183.59858,0.23260000000300352,0.1438,0.03622079651250094,False,2.7287478242336543e-12,4.2922516031302884e-13,5.004231962585652e-13,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.202348894681119e+28,5.547345699845353e+27,3.2649810688480614e+34,5.135732991702478e+33,5.987626440547002e+33
GX 339-4,60195.57771,0.323949999998149,0.1682,0.04912522875264806,False,5.389347495295144e-12,7.495410599964599e-13,8.47490354185476e-13,False,HS,rise,BH,10.0,"(""uniform"", 8, 12)",2.5760437001763847e+28,7.523706067061999e+27,6.448422015883451e+34,8.968352991357992e+33,1.0140328607404452e+34
