name,class,D,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
GX 339-4,BH,10.0,58614.93467,HS,1.4409961522080981e+29,1.1630293148926325e+28,0,5.520715367881207e+35,5.149062891831613e+34,5.051195492868383e+34,0
GX 339-4,BH,10.0,58621.91388,HS,1.2308285407666704e+29,1.2629996653832371e+28,0,3.3430865797002265e+35,3.4754534491707755e+34,3.483992043560704e+34,0
GX 339-4,BH,10.0,58634.90691,HS,7.712783699763765e+28,1.0720507173250294e+28,0,1.99238786812308e+35,2.8140431879927654e+34,2.98479880370762e+34,0
GX 339-4,BH,10.0,58658.80788,HS,6.099762600289835e+28,8.658342179775318e+27,0,1.6567765168763881e+35,2.703779202845684e+34,2.956524652857817e+34,0
GX 339-4,BH,10.0,58664.73464,HS,6.15490862078467e+28,9.229026707323388e+27,0,2.0093141155226816e+35,2.975186214490492e+34,3.224759226487177e+34,0
GX 339-4,BH,10.0,58671.87165,HS,7.38037574289212e+28,9.141709699970392e+27,0,2.443962760973642e+35,4.0242450553414024e+34,4.7071190541524785e+34,0
GX 339-4,BH,10.0,58678.92249,HS,7.8858809307614435e+28,9.011764137539302e+27,0,3.69571677577931e+35,3.465758506191224e+34,3.3962703411179315e+34,0
GX 339-4,BH,10.0,58686.86963,HS,1.0872957040898354e+29,1.0442097344629081e+28,0,5.1152144773356125e+35,6.433098590870083e+34,7.10181604274365e+34,0
GX 339-4,BH,10.0,58699.72388,HS,1.1545432124154818e+29,1.1989591860478565e+28,0,4.5744638769118805e+35,7.077151018390313e+34,8.324364853989136e+34,0
GX 339-4,BH,10.0,58705.77584,HS,1.1942177104937103e+29,1.0214300624794506e+28,0,6.717938222918252e+35,7.472900740307925e+34,7.670285061297221e+34,0
GX 339-4,BH,10.0,58711.8776,HS,1.4673436953334085e+29,1.1125682348414984e+28,0,9.302542282651861e+35,9.724843931722464e+34,9.85909733537577e+34,0
GX 339-4,BH,10.0,58718.66876,HS,2.1598858027143816e+29,1.8455604533854715e+28,0,1.6506760233683824e+36,2.0532543089456514e+35,2.1260255962729696e+35,0
GX 339-4,BH,10.0,58726.75162,HS,2.9870761101369105e+29,1.7308136968985707e+28,0,2.873438324730946e+36,2.7698085702149905e+35,2.731064373858529e+35,0
GX 339-4,BH,10.0,58733.66452,HS,3.96744980782287e+29,2.1686186139101957e+28,0,5.1681016043092684e+36,4.718154843645838e+35,4.629863088274743e+35,0
GX 339-4,BH,10.0,58740.74153,HS,4.534228351797566e+29,2.4148859846444067e+28,0,5.489006908622412e+36,5.222350847653446e+35,5.1327570667889115e+35,0
GX 339-4,BH,10.0,58747.61419,HS,5.009096861614203e+29,2.6539012416164215e+28,0,6.759597712696021e+36,5.948237105630124e+35,5.83236517849421e+35,0
GX 339-4,BH,10.0,58755.63859,HS,5.8209688300103885e+29,3.0554035206509175e+28,0,1.0097157069632508e+37,1.0011991725437322e+36,9.919462106947951e+35,0
GX 339-4,BH,10.0,58762.65596,HS,6.081380593458223e+29,3.1739143788549255e+28,0,1.1804711716015098e+37,1.1727709078084763e+36,1.1608496692180445e+36,0
GX 339-4,BH,10.0,58768.73448,HS,6.0354255763791926e+29,3.2333904151743816e+28,0,1.1740194042476143e+37,1.0312001965317895e+36,1.0125129325955198e+36,0
GX 339-4,BH,10.0,58775.60541,HS,5.9435155422211336e+29,3.108836431815935e+28,0,1.320119536341672e+37,1.1479859379265321e+36,1.1276405818090788e+36,0
GX 339-4,BH,10.0,58782.58658,HS,5.744377134878674e+29,3.0175343281510014e+28,0,1.345308894256293e+37,1.2155612818045575e+36,1.1947146448088656e+36,0
GX 339-4,BH,10.0,58873.20673,SS,9.436096840227369e+30,4.7212508182421285e+29,0,1.3456544195242143e+38,1.3323257186671667e+37,1.3304912163075225e+37,0
GX 339-4,BH,10.0,58887.17309,SS,6.663477476459263e+30,3.334427609882307e+29,0,9.496669741085619e+37,9.408597438145588e+36,9.396872601086186e+36,0
GX 339-4,BH,10.0,58894.13512,SS,4.166588215165331e+30,2.0862767058336526e+29,0,8.508617743790368e+37,8.156592812232464e+36,8.116244308442182e+36,0
GX 339-4,BH,10.0,58900.26135,SS,2.864529397926165e+30,1.4355535957087454e+29,0,7.994558306711091e+37,7.173124054266739e+36,7.094547310545426e+36,0
GX 339-4,BH,10.0,58910.17206,SS,2.3896608881095284e+30,1.1982552822603822e+29,0,6.381024742801186e+37,4.128859804557812e+36,4.073553369207406e+36,0
GX 339-4,BH,10.0,58917.11396,SS,2.2824325149251264e+30,1.145740039247711e+29,0,6.022094125525401e+37,4.779658399064278e+36,4.675317302932707e+36,0
GX 339-4,BH,10.0,58922.3326,IMS,2.4049792271358713e+30,1.2069007076557152e+29,0,5.599366196081504e+37,5.504235598147942e+36,5.49409857738405e+36,0
GX 339-4,BH,10.0,58929.08,IMS,2.7573010247417636e+30,1.3818864498031515e+29,0,5.565241896095629e+37,5.486265430217376e+36,5.477671960095598e+36,0
GX 339-4,BH,10.0,58937.32745,IMS,2.4049792271358713e+30,1.2071125344024906e+29,0,3.7074100083875986e+37,3.460968895071418e+36,3.436598485184659e+36,0
GX 339-4,BH,10.0,58942.1455,IMS,1.654380614845058e+30,8.35906981160864e+28,0,3.3712685700658702e+37,2.6975659229123115e+36,2.6415622959406853e+36,0
GX 339-4,BH,10.0,58949.25972,IMS,1.746290649003117e+30,8.77716177506332e+28,0,2.266638552393311e+37,1.649118396542259e+36,1.6027856116362987e+36,0
GX 339-4,BH,10.0,58957.10876,IMS,1.5103882279974325e+30,7.6047424701675545e+28,0,7.653933306508864e+36,6.86407585070039e+35,6.78558305909819e+35,0
GX 339-4,BH,10.0,58964.16597,HS,1.1932986101521298e+30,6.037804698681104e+28,0,3.3208335288901e+36,2.4394490139305475e+35,2.415083585205032e+35,0
GX 339-4,BH,10.0,58970.98595,HS,8.700816566962899e+29,4.450918898565392e+28,0,1.8496839038043044e+36,2.274827514046531e+35,2.3563689941979666e+35,0
GX 339-4,BH,10.0,58978.13848,HS,6.55624910327486e+29,3.39799847436511e+28,0,1.2190021095320808e+36,1.828921869336307e+35,1.9663388318422286e+35,0
GX 339-4,BH,10.0,58986.13856,HS,8.853999957226329e+29,4.514972522734041e+28,0,1.3290676747769348e+36,1.6018000397037758e+35,1.6048160577055115e+35,0
GX 339-4,BH,10.0,58992.01214,HS,5.790332151957703e+29,3.1337851245526474e+28,0,8.8679099201473e+35,1.0092987910107763e+35,1.0036181400257751e+35,0
GX 339-4,BH,10.0,59001.10205,HS,4.610820046929281e+29,2.4824340834806075e+28,0,5.880324599120387e+35,6.525836288471793e+34,6.595318872185985e+34,0
GX 339-4,BH,10.0,59008.14909,HS,3.81426641755944e+29,2.093067037251685e+28,0,3.7710877448274215e+35,4.003592179479916e+34,3.95699634961742e+34,0
GX 339-4,BH,10.0,59014.87091,HS,3.0023944491632532e+29,1.7103287383116105e+28,0,2.9098032467334917e+35,4.431673843363249e+34,4.76888262684258e+34,0
GX 339-4,BH,10.0,59019.03753,HS,2.619435973504675e+29,1.56480113478656e+28,0,3.6986269291862605e+35,6.388908181080934e+34,6.877762066837374e+34,0
GX 339-4,BH,10.0,59026.98552,HS,2.359024210056842e+29,1.2893820039370095e+28,0,2.7868539770757272e+35,3.5851325694062267e+34,3.739549210936263e+34,0
GX 339-4,BH,10.0,59034.82418,HS,2.1598858027143816e+29,1.1840927440890118e+28,0,2.9154393560202667e+35,4.515222029588028e+34,4.878937776863482e+34,0
GX 339-4,BH,10.0,59042.81444,HS,1.8535190221875185e+29,1.04344090860477e+28,0,2.207290046227562e+35,2.46745887216469e+34,2.5095953266324994e+34,0
GX 339-4,BH,10.0,59049.81741,HS,1.8075640051084894e+29,1.0377979676450146e+28,0,2.0939331524469174e+35,2.6386460846008328e+34,2.755265000681456e+34,0
GX 339-4,BH,10.0,59054.89148,HS,1.5042608923868953e+29,8.735228265154323e+27,0,1.711042840875046e+35,2.342273653541903e+34,2.4509301125447806e+34,0
GX 339-4,BH,10.0,59062.70781,HS,1.306654318947069e+29,8.10383931018478e+27,0,1.3372202499453661e+35,2.415437698888272e+34,2.7338052112407274e+34,0
GX 339-4,BH,10.0,59069.69732,HS,1.2729539730891138e+29,8.108948362673904e+27,0,1.2389416986628043e+35,1.5626289115107198e+34,1.6141473005882203e+34,0
GX 339-4,BH,10.0,59076.77035,HS,9.895647011017662e+28,7.420308413059585e+27,0,8.101634443914244e+34,1.3661737603815602e+34,1.4995735126028648e+34,0
GX 339-4,BH,10.0,59091.67337,HS,5.621830422667928e+28,5.985870059203111e+27,0,1.0886073234848148e+34,2.7672401380129955e+33,3.104345851803512e+33,0
GX 339-4,BH,10.0,59096.86467,HS,5.146961912851292e+28,6.141106640641948e+27,0,1.146739213231469e+34,2.9695342325949874e+33,3.4166552504882105e+33,0
GX 339-4,BH,10.0,59118.79093,HS,2.879847736952509e+28,5.138383789129036e+27,0,8.407486465115426e+33,2.667960224779227e+33,3.2336560467473935e+33,0
GX 339-4,BH,10.0,59132.66506,HS,3.6917197053486943e+28,5.20923199196819e+27,0,2.957570397067433e+33,1.6248310595385092e+33,2.278346035632367e+33,0
GX 339-4,BH,10.0,59238.48995,HS,4.089996520033616e+29,2.1370318255964328e+28,0,6.018522952373909e+36,4.356788184549669e+35,4.230784721309868e+35,0
GX 339-4,BH,10.0,59244.21015,HS,5.928197203194792e+29,3.010039586577435e+28,0,1.3059389521128583e+37,1.3729432326253e+36,1.3696490165776684e+36,0
GX 339-4,BH,10.0,59251.44824,HS,9.145048398726848e+29,4.603670865743975e+28,0,2.6838546161768317e+37,2.6858616010194223e+36,2.6852386221689945e+36,0
GX 339-4,BH,10.0,59260.42055,HS,1.4322646989630825e+30,7.188543975512511e+28,0,4.377288272185893e+37,3.577720517605772e+36,3.509240722106635e+36,0
GX 339-4,BH,10.0,59265.45867,HS,1.5931072587396856e+30,7.990741626983568e+28,0,4.1432015484980176e+37,3.9741718328426766e+36,3.956262093956255e+36,0
GX 339-4,BH,10.0,59273.30386,HS,1.669698953871401e+30,8.365889523630074e+28,0,4.975164483573027e+37,4.271004386388664e+36,4.207233540883218e+36,0
GX 339-4,BH,10.0,59279.21297,HS,1.792245666082146e+30,8.974375306736861e+28,0,4.2184666986111156e+37,3.9512985413774813e+36,3.923829065480268e+36,0
GX 339-4,BH,10.0,59281.24699,HS,2.0526574295299794e+30,1.0271679195290366e+29,0,5.260380767328293e+37,5.1060176864941565e+36,5.0898650431765975e+36,0
GX 339-4,BH,10.0,59286.10265,HS,1.884155700240205e+30,9.437537673657457e+28,0,4.497806451996414e+37,4.260405633885384e+36,4.235829034570767e+36,0
GX 339-4,BH,10.0,59293.14299,HS,2.3283875320041554e+30,1.1652708826427458e+29,0,6.627752784097633e+37,6.415464184128924e+36,6.393102196726802e+36,0
GX 339-4,BH,10.0,59301.28175,IMS,7.199619342381271e+29,3.635342653759754e+28,0,1.3328909935230324e+38,9.835054766694574e+36,9.569546254279371e+36,0
GX 339-4,BH,10.0,59309.17674,IMS,1.8075640051084894e+30,9.052290243533869e+28,0,2.137484621180415e+38,1.5699895821708826e+37,1.527047987775131e+37,0
GX 339-4,BH,10.0,59314.07361,SS,4.2738165883497324e+30,2.1380050528658733e+29,0,2.078741709876271e+38,1.577165141964916e+37,1.5377738829278493e+37,0
GX 339-4,BH,10.0,59322.99552,SS,3.707038044375038e+30,1.8543437565784027e+29,0,2.415095654751737e+38,1.765893878885868e+37,1.7170146099471217e+37,0
GX 339-4,BH,10.0,59328.0165,SS,1.8075640051084894e+30,9.05255114252802e+28,0,2.2217778933655295e+38,2.146434128200711e+37,2.1384723170394704e+37,0
GX 339-4,BH,10.0,59335.06897,SS,3.3240795687164586e+30,1.6629442661764267e+29,0,2.4771304416674917e+38,2.289517612807824e+37,2.271089106238797e+37,0
GX 339-4,BH,10.0,59341.10074,SS,2.221159158819754e+30,1.1118145439460375e+29,0,2.4458535671671466e+38,2.0392423941047846e+37,2.0038015806305175e+37,0
GX 339-4,BH,10.0,59349.91249,SS,1.884155700240205e+30,9.434331087239534e+28,0,2.378454329782742e+38,2.252352986223907e+37,2.2392960867009904e+37,0
GX 339-4,BH,10.0,59356.02457,SS,1.8382006831611758e+30,9.205403628232647e+28,0,2.1615092605006872e+38,2.1019833506122174e+37,2.0952658498854196e+37,0
GX 339-4,BH,10.0,59361.95779,SS,1.300526983336532e+30,6.534838977429325e+28,0,1.916462690948084e+38,1.5728787026979412e+37,1.5434502166566686e+37,0
GX 339-4,BH,10.0,59370.89962,SS,7.567259479013507e+29,3.8475679293038174e+28,0,2.2419077841746653e+38,2.188773533925842e+37,2.182820521335109e+37,0
